Label,Furniture_Type,Image_File
exclusive 6ã4teek bed with metress piyestra hui89 ,Bed / bedroom item,/furniture_images/1634012521427_Exclusive 6Ã4teek Bed with Metress Piyestra Hui89 for sale.jpg
phoenix high utility storage box - 10lt ,Storage,/furniture_images/1634012521615_Phoenix High Utility Storage Box  10LT for sale.jpg
nob down dining tables 6ch set ,Table / chair,/furniture_images/1634012521793_Nob Down Dining Tables 6ch set for sale.jpg
new attoniya bed with mattress ,Bed / bedroom item,/furniture_images/1634012521970_New Attoniya Bed with Mattress for sale.jpg
lamp stand ,Lighting,/furniture_images/1634012522134_Lamp Stand for sale.jpg
used office furniture ,Other,/furniture_images/1634012522301_Used Office Furniture for sale.jpg
tv stand ,TV / stereo,/furniture_images/1634012522452_Tv Stand for sale.jpg
exclusive teek box dressing table new ,Bed / bedroom item,/furniture_images/1634012522614_Exclusive Teek Box Dressing Table New for sale.jpg
tv stand ,TV / stereo,/furniture_images/1634012522817_Tv Stand for sale.jpg
exclusive wamko 6*3 steel office cupboard ,Storage,/furniture_images/1634012522999_Exclusive Wamko 63 Steel Office Cupboard for sale.jpg
exclusive steel wardrobe 6by4 ,Bed / bedroom item,/furniture_images/1634012523167_Exclusive Steel Wardrobe 6by4 for sale.jpg
actonia new 6x4ft / 6x3ft bed with double layer mattresses ,Bed / bedroom item,/furniture_images/1634012588135_Actonia New 6x4ft  6x3ft Bed With Double Layer Mattresses for sale.jpg
steel bed ,Bed / bedroom item,/furniture_images/1634012588304_Steel Bed for sale.jpg
piyestra/arpico flexifoam spring mattress ,Bed / bedroom item,/furniture_images/1634012660204_PiyestraArpico flexifoam Spring Mattress for sale.jpg
branded teak dark box beds ,Bed / bedroom item,/furniture_images/1634012660453_Branded Teak Dark Box Beds for sale.jpg
bed 6ft*3ft. ,Bed / bedroom item,/furniture_images/1634012708522_Bed 6ft3ft for sale.jpg
covers for plastic chair ,Table / chair,/furniture_images/1634012708859_COVERS FOR PLASTIC CHAIR for sale.jpg
antique teak bedroom set ,Antique / art,/furniture_images/1634012816704_Antique Teak Bedroom Set for sale.jpg
teak box model sofa with stool--tbm2607 ,Sofa / living room item,/furniture_images/1634012874087_Teak Box Model Sofa with StoolTBM2607 for sale.jpg
teak dinning table 8 seats ,Sofa / living room item,/furniture_images/1634012906423_Teak Dinning Table 8 Seats for sale.jpg
brand new bed ,Bed / bedroom item,/furniture_images/1634012986724_Brand New Bed for sale.jpg
teak wooden chair set ,Sofa / living room item,/furniture_images/1634012987001_Teak Wooden Chair Set for sale.jpg
bunk beds ,Bed / bedroom item,/furniture_images/1634012989047_Bunk beds for sale.jpg
sofa set ,Sofa / living room item,/furniture_images/1634013085003_Sofa Set for sale.jpg
office chair click n see quality ,Table / chair,/furniture_images/1634013127749_office chair Click N See Quality for sale.jpg
teak katrina sofa & stool---tks2503 ,Sofa / living room item,/furniture_images/1634013128220_Teak Katrina Sofa  StoolTKS2503 for sale.jpg
tables ,Table / chair,/furniture_images/1634013190901_Tables for sale.jpg
arm with chair ,Table / chair,/furniture_images/1634013194960_ARM WITH CHAIR for sale.jpg
table mate ii ,Table / chair,/furniture_images/1634013195170_Table Mate II for sale.jpg
wardrobe ,Storage,/furniture_images/1634013195396_Wardrobe for sale.jpg
wardrobe ,Bed / bedroom item,/furniture_images/1634013195639_Wardrobe for sale.jpg
piyestra low back steel frame visitor chair ,Table / chair,/furniture_images/1634013195892_Piyestra Low Back Steel Frame Visitor Chair for sale.jpg
gamdias zelus e1 gaming chair ,Table / chair,/furniture_images/1634013196108_Gamdias Zelus E1 Gaming Chair for sale.jpg
steel chair ,Table / chair,/furniture_images/1634013228607_Steel Chair for sale.jpg
teak dining table with 6 chairs ,Table / chair,/furniture_images/1634013228813_Teak Dining Table with 6 Chairs for sale.jpg
teak wood two doors wardrobe ,Bed / bedroom item,/furniture_images/1634013229048_Teak Wood Two Doors Wardrobe for sale.jpg
teak wood three door light wardrobe ,Bed / bedroom item,/furniture_images/1634013229239_Teak Wood Three Door Light Wardrobe for sale.jpg
piyestra (75*60) m2 knock down bed rose m22 ,Bed / bedroom item,/furniture_images/1634013229409_PIYESTRA 7560 M2 KNOCK DOWN BED ROSE M22 for sale.jpg
high quality imported sofa ,Sofa / living room item,/furniture_images/1634013229599_High Quality Imported Sofa for sale.jpg
arpico pride plus mattress ,Bed / bedroom item,/furniture_images/1634013229820_Arpico Pride Plus Mattress for sale.jpg
"size 3""2""1 high quality imported sofa ",Sofa / living room item,/furniture_images/1634013230046_Size 321 High Quality Imported Sofa for sale.jpg
office table 3x2 ne ,Table / chair,/furniture_images/1634013230258_Office table 3x2 ne for sale.jpg
piyestra book rack (76*32*176)cm ,Storage,/furniture_images/1634013230424_PIYESTRA BOOK RACK 7632176CM for sale.jpg
piyestra hybrid chair ,Table / chair,/furniture_images/1634013230651_PIYESTRA Hybrid Chair for sale.jpg
sofa set (imported) ,Sofa / living room item,/furniture_images/1634013230871_Sofa set Imported for sale.jpg
mid-mesh hi-back piyestra chairs ,Table / chair,/furniture_images/1634013231110_MidMesh HiBack PIYESTRA Chairs for sale.jpg
outdoor table set 4 chair ,Table / chair,/furniture_images/1634013231316_Outdoor Table Set 4 Chair for sale.jpg
computer chair 001 ,Table / chair,/furniture_images/1634013231514_Computer Chair 001 for sale.jpg
"size 3""2""1 sofa set ",Sofa / living room item,/furniture_images/1634013231718_Size 321 Sofa Set for sale.jpg
new library cupboard glass ,Storage,/furniture_images/1634013231917_New Library Cupboard Glass for sale.jpg
bed 6ft *4ft ,Bed / bedroom item,/furniture_images/1634013232134_Bed 6ft 4ft for sale.jpg
new melamine writing table r ,Table / chair,/furniture_images/1634013232335_NEW MELAMINE WRITING TABLE R for sale.jpg
chest of drawers ,Bed / bedroom item,/furniture_images/1634013232572_Chest of Drawers for sale.jpg
cupboard ,Storage,/furniture_images/1634013232766_Cupboard for sale.jpg
dining table with chairs mahogany ,Table / chair,/furniture_images/1634013232972_Dining Table with Chairs Mahogany for sale.jpg
sofa set ,Sofa / living room item,/furniture_images/1634013233195_Sofa Set for sale.jpg
antique sofa ,Antique / art,/furniture_images/1634013233388_Antique Sofa for sale.jpg
director chairs ,Table / chair,/furniture_images/1634013233659_Director Chairs for sale.jpg
dining table with six chair (teak) ,Table / chair,/furniture_images/1634013270119_Dining Table with Six Chair Teak for sale.jpg
teak wood box bed with hybrid mattress ,Bed / bedroom item,/furniture_images/1634013270500_Teak Wood Box Bed with Hybrid Mattress for sale.jpg
piyestra mid back verandah chair ,Table / chair,/furniture_images/1634013270766_Piyestra Mid Back Verandah Chair for sale.jpg
computer chair ,Table / chair,/furniture_images/1634013270959_Computer Chair for sale.jpg
furniture set - damro shoerack ,Storage,/furniture_images/1634013271117_Furniture Set  Damro Shoerack for sale.jpg
steel beds ,Bed / bedroom item,/furniture_images/1634013271311_Steel Beds for sale.jpg
arm chair ,Table / chair,/furniture_images/1634013271550_Arm Chair for sale.jpg
verandah chair ,Table / chair,/furniture_images/1634013271770_Verandah Chair for sale.jpg
piyestra arm chair ,Table / chair,/furniture_images/1634013271986_PIYESTRA Arm Chair for sale.jpg
melamin cupboard ( 6x4 ) ,Bed / bedroom item,/furniture_images/1634013272250_Melamin Cupboard  6x4  for sale.jpg
headboard bed with spring mattress ,Bed / bedroom item,/furniture_images/1634013272559_Headboard Bed with Spring Mattress for sale.jpg
steel cupboard ( 5x2.5 ) ,Storage,/furniture_images/1634013272868_Steel cupboard  5x25  for sale.jpg
verandah chair ,Table / chair,/furniture_images/1634013273092_Verandah Chair for sale.jpg
piyestra relax chair ,Table / chair,/furniture_images/1634013273294_Piyestra Relax Chair for sale.jpg
piyestra verandah chair ,Table / chair,/furniture_images/1634013273504_PIYESTRA VERANDAH Chair for sale.jpg
piyestra dining chair ,Table / chair,/furniture_images/1634013273673_PIYESTRA Dining Chair for sale.jpg
banquet chair pink bow ,Table / chair,/furniture_images/1634013273884_Banquet chair pink bow for sale.jpg
bunk bed ,Bed / bedroom item,/furniture_images/1634013274042_Bunk Bed for sale.jpg
living room chairs ,Table / chair,/furniture_images/1634013274280_Living Room Chairs for sale.jpg
3d bedsheet ,Bed / bedroom item,/furniture_images/1634013274532_3D Bedsheet for sale.jpg
dining table ,Table / chair,/furniture_images/1634013274746_Dining Table for sale.jpg
new mdf computer table glass ,Table / chair,/furniture_images/1634013274968_New Mdf Computer Table Glass for sale.jpg
steel cupboard lp cb sd ,Storage,/furniture_images/1634013275188_Steel Cupboard LP CB SD for sale.jpg
steel half office cupboard ,Storage,/furniture_images/1634013275471_Steel Half Office Cupboard for sale.jpg
melamine writing table ,Table / chair,/furniture_images/1634013275778_Melamine Writing Table for sale.jpg
cashier table (steel) ,Table / chair,/furniture_images/1634013276110_Cashier Table Steel for sale.jpg
6*4 bed ,Bed / bedroom item,/furniture_images/1634013321644_64 Bed for sale.jpg
damro kingstar mattress ,Bed / bedroom item,/furniture_images/1634013322170_Damro Kingstar Mattress for sale.jpg
steel cupboard lp cb dd ,Storage,/furniture_images/1634013322436_Steel Cupboard LP CB DD for sale.jpg
steel cupboard 4 by 3 ,Storage,/furniture_images/1634013322684_Steel Cupboard 4 by 3 for sale.jpg
empire divan bed ,Bed / bedroom item,/furniture_images/1634013322899_Empire Divan Bed for sale.jpg
double layer mattress 6*3 ,Bed / bedroom item,/furniture_images/1634013323103_Double Layer Mattress 63 for sale.jpg
office chair 05 ,Table / chair,/furniture_images/1634013323316_Office Chair 05 for sale.jpg
new dressing table ,Bed / bedroom item,/furniture_images/1634013323521_New Dressing Table for sale.jpg
arpico bed ,Bed / bedroom item,/furniture_images/1634013323734_Arpico Bed for sale.jpg
new piyestra computer chair arm ,Table / chair,/furniture_images/1634013323972_New Piyestra Computer Chair Arm for sale.jpg
new visitor chair b ,Table / chair,/furniture_images/1634013324210_NEW Visitor Chair B for sale.jpg
office table 4x2 ,Table / chair,/furniture_images/1634013324540_Office Table 4x2 for sale.jpg
new piyestra visitor chair ,Table / chair,/furniture_images/1634013324722_NEW PIYESTRA Visitor Chair for sale.jpg
piyestra executive chairs ,Table / chair,/furniture_images/1634013324918_Piyestra executive Chairs for sale.jpg
teak wood sofa set with coffee table ,Sofa / living room item,/furniture_images/1634013325113_teak wood sofa set with coffee table for sale.jpg
steel book cupboard lp gcb 1 ,Storage,/furniture_images/1634013325329_Steel Book Cupboard LP GCB 1 for sale.jpg
gamdias aphrodite ef1 l bb (black & blue) gaming chair ,Table / chair,/furniture_images/1634013325568_Gamdias Aphrodite EF1 L BB Black  Blue Gaming Chair for sale.jpg
teak three door bed room set package ,Bed / bedroom item,/furniture_images/1634013325825_Teak Three Door Bed Room Set Package for sale.jpg
mattress 6*2.5 ,Bed / bedroom item,/furniture_images/1634013326035_Mattress 625 for sale.jpg
office chair nylon hq with rocking ,Table / chair,/furniture_images/1634013326251_office chair Nylon HQ with rocking for sale.jpg
2 door strong teak almirah ,Storage,/furniture_images/1634013326451_2 Door Strong Teak Almirah for sale.jpg
gamdias zelus e1 l b (black ) gaming chair ,Table / chair,/furniture_images/1634013326655_Gamdias Zelus E1 L B black  Gaming Chair for sale.jpg
old chairs ,Antique / art,/furniture_images/1634013326878_Old Chairs for sale.jpg
sofa set ,Sofa / living room item,/furniture_images/1634013327092_Sofa Set for sale.jpg
teak wood box bed ,Bed / bedroom item,/furniture_images/1634013327282_Teak Wood Box Bed for sale.jpg
steel office cupboard lp cb 1 ,Storage,/furniture_images/1634013327486_Steel Office Cupboard LP CB 1 for sale.jpg
table ,Table / chair,/furniture_images/1634013363007_Table for sale.jpg
6 set teak wood sofa with coffee table ,Sofa / living room item,/furniture_images/1634013363370_6 Set Teak Wood Sofa With Coffee Table for sale.jpg
two sofa set ,Sofa / living room item,/furniture_images/1634013363650_Two Sofa Set for sale.jpg
folding bed 6x2.5 ft ,Bed / bedroom item,/furniture_images/1634013363890_Folding Bed 6x25 ft for sale.jpg
study table (melamine) ,Table / chair,/furniture_images/1634013364067_Study Table Melamine for sale.jpg
library cupboard ,Storage,/furniture_images/1634013364267_Library Cupboard for sale.jpg
mini cupboard ,Storage,/furniture_images/1634013364441_Mini Cupboard for sale.jpg
wardrobe ,Storage,/furniture_images/1634013364623_Wardrobe for sale.jpg
writing table ,Table / chair,/furniture_images/1634013364834_Writing Table for sale.jpg
computer chair (damro) ,Table / chair,/furniture_images/1634013365016_Computer chair DAMRO for sale.jpg
wardrobe ,Storage,/furniture_images/1634013365195_Wardrobe for sale.jpg
teak heavy modern 2 door based almary code 8991 ,Bed / bedroom item,/furniture_images/1634013365377_Teak Heavy Modern 2 Door Based Almary Code 8991 for sale.jpg
teak heavy modern 2 door based almary code mf 8995 ,Bed / bedroom item,/furniture_images/1634013365673_Teak Heavy Modern 2 Door Based Almary Code MF 8995 for sale.jpg
teak heavy dining table and 6 chairs code 9000 ,Table / chair,/furniture_images/1634013365937_Teak Heavy Dining Table and 6 Chairs Code 9000 for sale.jpg
depo teak heavy modern pillow sofa set with stone table code 9001 ,Sofa / living room item,/furniture_images/1634013366134_Depo Teak Heavy Modern Pillow Sofa Set with Stone Table Code 9001 for sale.jpg
depo teak heavy komadu fabric sofa set with stone table code 9002 ,Sofa / living room item,/furniture_images/1634013366389_Depo Teak Heavy Komadu Fabric Sofa Set with Stone Table Code 9002 for sale.jpg
office chair ,Table / chair,/furniture_images/1634013366673_Office Chair for sale.jpg
teak heavy modern dining table and 6 chairs code 9003 ,Table / chair,/furniture_images/1634013366895_Teak Heavy Modern Dining Table and 6 Chairs Code 9003 for sale.jpg
depo teak modern dining table 4 chairs code 9004 ,Table / chair,/furniture_images/1634013367094_Depo Teak Modern Dining Table 4 Chairs Code 9004 for sale.jpg
teak bed (4*6)(48*72) code 9005 ,Bed / bedroom item,/furniture_images/1634013367414_Teak Bed 464872 Code 9005 for sale.jpg
depo teak heavy modern 2 door display cupboard code 9007 ,Sofa / living room item,/furniture_images/1634013367626_Depo Teak Heavy Modern 2 Door Display Cupboard Code 9007 for sale.jpg
depo teak heavy komadu fabric sofa set with stone table code 9008 ,Sofa / living room item,/furniture_images/1634013367934_Depo Teak Heavy Komadu Fabric Sofa Set with Stone Table Code 9008 for sale.jpg
depo teak heavy modern fabric sofa set with stone table code 9009 ,Sofa / living room item,/furniture_images/1634013368169_Depo Teak Heavy Modern Fabric Sofa Set with Stone Table Code 9009 for sale.jpg
new 2 door almary code 9011 ,Bed / bedroom item,/furniture_images/1634013368448_New 2 Door Almary Code 9011 for sale.jpg
